id,location_name,area_name,place_type,latitude,longitude,crime_risk,lighting_level,crowd_density,traffic_level,police_presence,risk_score,risk_level,data_status
159,Saturna - Safety Point 159,Saturna,college_area,20.918106,77.75799,59.24,85.89,21.15,45.53,62.38,39.89,Medium,SYNTHETIC_DEMO_ONLY
160,Parmal Layout - Safety Point 160,Parmal Layout,park_area,20.919753,77.758514,57.34,65.19,38.68,27.82,42.45,47.11,Medium,SYNTHETIC_DEMO_ONLY
161,Pushpak Colony - Safety Point 161,Pushpak Colony,residential_area,20.91244,77.749211,18.47,73.79,69.95,19.24,59.24,31.16,Low,SYNTHETIC_DEMO_ONLY
162,Rana Nagar - Safety Point 162,Rana Nagar,market_area,20.939816,77.775396,46.86,50.24,61.33,34.44,53.66,48.29,Medium,SYNTHETIC_DEMO_ONLY
163,Mahajanpura - Safety Point 163,Mahajanpura,commercial_area,20.933464,77.75888,37.54,86.51,70.94,73.63,74.08,39.61,Medium,SYNTHETIC_DEMO_ONLY
164,Prabhat Colony - Safety Point 164,Prabhat Colony,road_junction,20.927678,77.761481,31.99,94.79,80.28,28.89,55.18,35.49,Medium,SYNTHETIC_DEMO_ONLY
165,Krishnarpan Colony - Safety Point 165,Krishnarpan Colony,public_place,20.925087,77.761725,36.77,80.94,47.66,26.03,59.62,34.33,Low,SYNTHETIC_DEMO_ONLY
166,New Ganesh Colony - Safety Point 166,New Ganesh Colony,transport_area,20.922937,77.757327,79.11,25.4,60.76,46.85,94.11,61.25,Medium,SYNTHETIC_DEMO_ONLY
167,Javad Nagar - Safety Point 167,Javad Nagar,college_area,20.924788,77.778524,43.28,52.17,23.34,92.74,31.58,49.92,Medium,SYNTHETIC_DEMO_ONLY
168,Walgaon Road - Safety Point 168,Walgaon Road,park_area,20.915963,77.793097,17.86,28.37,65.6,53.17,32.66,46.73,Medium,SYNTHETIC_DEMO_ONLY
169,Badnera Road - Safety Point 169,Badnera Road,residential_area,20.898602,77.773343,44.81,36.38,81.71,82.78,92.67,52.28,Medium,SYNTHETIC_DEMO_ONLY
170,Rahatgaon - Safety Point 170,Rahatgaon,market_area,20.951113,77.744962,31.77,92.85,94.28,50.18,38.21,42.57,Medium,SYNTHETIC_DEMO_ONLY
171,Transport Nagar - Safety Point 171,Transport Nagar,commercial_area,20.95593,77.757938,51.0,61.32,39.76,86.67,50.57,50.18,Medium,SYNTHETIC_DEMO_ONLY
172,Cotton Market - Safety Point 172,Cotton Market,road_junction,20.93483,77.746104,40.02,31.88,75.29,77.72,49.65,56.25,Medium,SYNTHETIC_DEMO_ONLY
173,Sarafa - Safety Point 173,Sarafa,public_place,20.932868,77.750323,42.47,25.59,44.09,59.35,84.96,46.67,Medium,SYNTHETIC_DEMO_ONLY
174,Maltekdi - Safety Point 174,Maltekdi,transport_area,20.928935,77.771895,46.61,69.71,42.18,50.59,80.07,39.08,Medium,SYNTHETIC_DEMO_ONLY
175,Wadali - Safety Point 175,Wadali,college_area,20.924648,77.793359,62.5,86.07,86.04,33.43,91.64,45.29,Medium,SYNTHETIC_DEMO_ONLY
176,Rahatgaon Road - Safety Point 176,Rahatgaon Road,park_area,20.948354,77.753675,42.51,46.02,40.76,93.66,85.25,45.49,Medium,SYNTHETIC_DEMO_ONLY
177,MIDC Area - Safety Point 177,MIDC Area,residential_area,20.909624,77.803815,30.42,81.39,49.29,46.55,83.67,30.39,Low,SYNTHETIC_DEMO_ONLY
178,Chandur Road Area - Safety Point 178,Chandur Road Area,market_area,20.896107,77.73802,88.81,65.37,58.47,70.64,86.35,60.33,Medium,SYNTHETIC_DEMO_ONLY
179,Paranjape Nagar - Safety Point 179,Paranjape Nagar,commercial_area,20.938469,77.752655,77.48,66.21,35.49,83.33,40.84,60.28,Medium,SYNTHETIC_DEMO_ONLY
180,Panchsheel Nagar - Safety Point 180,Panchsheel Nagar,road_junction,20.944647,77.75008,39.81,71.75,91.08,47.25,56.68,46.46,Medium,SYNTHETIC_DEMO_ONLY
181,Rajapeth - Safety Point 181,Rajapeth,public_place,20.926579,77.752183,20.5,85.66,92.75,21.38,41.31,35.92,Medium,SYNTHETIC_DEMO_ONLY
182,City Kotwali - Safety Point 182,City Kotwali,transport_area,20.92756,77.757128,81.96,91.07,75.06,62.39,49.19,59.69,Medium,SYNTHETIC_DEMO_ONLY
183,Gadge Nagar - Safety Point 183,Gadge Nagar,college_area,20.948064,77.763613,17.82,58.92,57.25,52.08,87.48,31.02,Low,SYNTHETIC_DEMO_ONLY
184,Frezarpura - Safety Point 184,Frezarpura,park_area,20.933352,77.773202,26.06,74.76,22.64,92.52,56.92,34.58,Low,SYNTHETIC_DEMO_ONLY
185,Dastur Nagar - Safety Point 185,Dastur Nagar,residential_area,20.912324,77.767674,84.03,28.0,93.88,87.76,62.66,76.47,High,SYNTHETIC_DEMO_ONLY
186,Gokul Market - Safety Point 186,Gokul Market,market_area,20.9315,77.763492,17.37,43.25,75.39,89.09,50.43,45.95,Medium,SYNTHETIC_DEMO_ONLY
187,Jawahar Road - Safety Point 187,Jawahar Road,commercial_area,20.929997,77.748926,72.3,35.41,67.94,37.26,32.86,65.83,High,SYNTHETIC_DEMO_ONLY
188,Camp Area - Safety Point 188,Camp Area,road_junction,20.92588,77.7719,55.06,37.88,70.46,90.96,54.02,61.01,Medium,SYNTHETIC_DEMO_ONLY
189,Saturna - Safety Point 189,Saturna,public_place,20.919596,77.761942,31.71,42.87,67.16,53.3,94.68,40.31,Medium,SYNTHETIC_DEMO_ONLY
190,Parmal Layout - Safety Point 190,Parmal Layout,transport_area,20.922239,77.754292,78.02,91.64,25.14,20.2,95.0,39.42,Medium,SYNTHETIC_DEMO_ONLY
191,Pushpak Colony - Safety Point 191,Pushpak Colony,college_area,20.908673,77.748543,40.47,26.13,36.08,79.8,40.69,53.25,Medium,SYNTHETIC_DEMO_ONLY
192,Rana Nagar - Safety Point 192,Rana Nagar,park_area,20.944099,77.777816,61.66,65.66,65.0,45.84,94.04,46.76,Medium,SYNTHETIC_DEMO_ONLY
193,Mahajanpura - Safety Point 193,Mahajanpura,residential_area,20.9378,77.752858,17.07,38.21,43.26,43.34,50.63,37.41,Medium,SYNTHETIC_DEMO_ONLY
194,Prabhat Colony - Safety Point 194,Prabhat Colony,market_area,20.931795,77.765237,68.43,29.98,51.61,79.76,93.8,58.02,Medium,SYNTHETIC_DEMO_ONLY
195,Krishnarpan Colony - Safety Point 195,Krishnarpan Colony,commercial_area,20.922609,77.760179,72.34,30.77,81.56,71.99,71.31,66.52,High,SYNTHETIC_DEMO_ONLY
196,New Ganesh Colony - Safety Point 196,New Ganesh Colony,road_junction,20.928023,77.754279,17.4,38.28,23.08,17.53,48.62,32.23,Low,SYNTHETIC_DEMO_ONLY
197,Javad Nagar - Safety Point 197,Javad Nagar,public_place,20.925361,77.78491,86.67,50.18,54.13,17.76,43.51,63.0,Medium,SYNTHETIC_DEMO_ONLY
198,Walgaon Road - Safety Point 198,Walgaon Road,transport_area,20.916636,77.792554,88.15,58.43,49.01,87.61,57.75,66.02,High,SYNTHETIC_DEMO_ONLY
199,Badnera Road - Safety Point 199,Badnera Road,college_area,20.900928,77.778406,86.71,83.59,90.48,18.28,71.16,57.69,Medium,SYNTHETIC_DEMO_ONLY
200,Rahatgaon - Safety Point 200,Rahatgaon,park_area,20.948926,77.743183,81.72,91.16,61.74,20.91,58.26,52.07,Medium,SYNTHETIC_DEMO_ONLY
