id,location_name,area_name,place_type,latitude,longitude,day_of_week,hour,crime_risk,lighting_level,crowd_density,traffic_level,police_presence,risk_score,risk_level,data_status
178,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936193,77.760372,Sunday,22,25.3,65.34,37.99,36.8,61.77,35.93,Low,SYNTHETIC_ML
179,Panchwati Square,Panchwati,Junction,20.918615,77.749301,Monday,8,49.01,63.24,81.04,75.64,39.71,52.29,Medium,SYNTHETIC_ML
180,Morshi Road,Morshi Road,Main Road,20.946512,77.780355,Monday,13,61.62,51.57,66.63,60.98,52.04,57.67,Medium,SYNTHETIC_ML
181,Rajapeth Area,Rajapeth,Market Area,20.92883,77.750481,Monday,18,68.32,57.28,86.18,91.88,44.02,69.71,High,SYNTHETIC_ML
182,Gadge Nagar Area,Gadge Nagar,Residential Area,20.943884,77.766691,Monday,21,36.73,63.96,50.77,54.85,51.97,40.42,Medium,SYNTHETIC_ML
183,Camp Area,Camp,Commercial Area,20.922837,77.754225,Tuesday,8,48.68,49.36,76.6,79.76,50.23,57.81,Medium,SYNTHETIC_ML
184,Badnera Road,Badnera Road,Main Road,20.912216,77.73576,Tuesday,13,68.4,36.79,63.48,78.44,35.67,65.73,High,SYNTHETIC_ML
185,University Area,University Area,Educational Area,20.944072,77.769015,Tuesday,18,15.82,84.03,57.1,45.54,71.88,26.25,Low,SYNTHETIC_ML
186,Bus Stand Area,Central Amravati,Transport Hub,20.931834,77.751555,Tuesday,21,66.99,50.85,100.0,100.0,53.61,66.86,High,SYNTHETIC_ML
187,Railway Station Area,Amravati,Transport Hub,20.926108,77.756057,Wednesday,8,57.6,48.69,95.3,81.35,50.05,63.83,Medium,SYNTHETIC_ML
188,Shivaji Nagar,Shivaji Nagar,Residential Area,20.939194,77.761214,Wednesday,13,41.94,78.72,52.38,34.23,66.26,32.52,Low,SYNTHETIC_ML
189,Panchwati Square,Panchwati,Junction,20.919523,77.747512,Wednesday,18,50.67,43.38,74.84,95.24,55.28,63.41,Medium,SYNTHETIC_ML
190,Morshi Road,Morshi Road,Main Road,20.949335,77.77994,Wednesday,21,46.02,58.22,62.59,55.18,53.05,47.27,Medium,SYNTHETIC_ML
191,Rajapeth Area,Rajapeth,Market Area,20.930441,77.749071,Thursday,8,58.1,58.17,81.72,85.08,33.47,63.43,Medium,SYNTHETIC_ML
192,Gadge Nagar Area,Gadge Nagar,Residential Area,20.942399,77.765726,Thursday,13,21.18,71.64,54.94,51.36,57.23,39.11,Low,SYNTHETIC_ML
193,Camp Area,Camp,Commercial Area,20.927338,77.753686,Thursday,18,46.17,42.35,84.97,88.6,53.87,64.97,Medium,SYNTHETIC_ML
194,Badnera Road,Badnera Road,Main Road,20.909612,77.737217,Thursday,21,63.95,44.12,65.46,76.06,37.49,65.12,High,SYNTHETIC_ML
195,University Area,University Area,Educational Area,20.945992,77.769038,Friday,8,18.7,76.48,71.53,63.48,61.02,36.12,Low,SYNTHETIC_ML
196,Bus Stand Area,Central Amravati,Transport Hub,20.930905,77.753483,Friday,13,71.62,48.2,100.0,100.0,35.85,76.83,High,SYNTHETIC_ML
197,Railway Station Area,Amravati,Transport Hub,20.925157,77.757076,Friday,18,57.41,63.48,100.0,94.47,45.94,69.19,High,SYNTHETIC_ML
198,Shivaji Nagar,Shivaji Nagar,Residential Area,20.937152,77.756988,Friday,21,23.21,61.46,37.74,54.95,75.85,32.96,Low,SYNTHETIC_ML
199,Panchwati Square,Panchwati,Junction,20.914766,77.7496,Saturday,10,51.87,51.62,82.42,72.36,51.26,54.48,Medium,SYNTHETIC_ML
200,Morshi Road,Morshi Road,Main Road,20.949805,77.780929,Saturday,15,40.93,52.69,78.03,69.61,48.55,56.44,Medium,SYNTHETIC_ML
201,Rajapeth Area,Rajapeth,Market Area,20.930538,77.751524,Saturday,19,50.73,52.37,95.19,80.48,47.61,59.67,Medium,SYNTHETIC_ML
202,Gadge Nagar Area,Gadge Nagar,Residential Area,20.942099,77.762421,Saturday,22,26.92,58.38,72.97,41.03,66.77,44.49,Medium,SYNTHETIC_ML
203,Camp Area,Camp,Commercial Area,20.923257,77.753984,Sunday,10,45.17,49.82,85.35,59.2,59.63,54.67,Medium,SYNTHETIC_ML
204,Badnera Road,Badnera Road,Main Road,20.907296,77.733872,Sunday,15,56.39,37.35,65.76,75.18,21.92,63.28,Medium,SYNTHETIC_ML
205,University Area,University Area,Educational Area,20.943196,77.76957,Sunday,19,24.56,70.76,83.06,52.09,71.47,43.17,Medium,SYNTHETIC_ML
206,Bus Stand Area,Central Amravati,Transport Hub,20.932867,77.751854,Sunday,22,66.23,44.86,89.88,87.83,38.58,71.65,High,SYNTHETIC_ML
207,Railway Station Area,Amravati,Transport Hub,20.926326,77.760363,Monday,8,70.58,53.58,93.45,91.45,55.18,61.7,Medium,SYNTHETIC_ML
208,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936565,77.760298,Monday,13,33.42,73.02,45.52,45.25,63.49,33.34,Low,SYNTHETIC_ML
209,Panchwati Square,Panchwati,Junction,20.918588,77.750456,Monday,18,44.63,53.16,72.73,86.28,51.27,57.53,Medium,SYNTHETIC_ML
210,Morshi Road,Morshi Road,Main Road,20.951684,77.779859,Monday,21,45.39,53.53,82.71,66.38,51.0,49.55,Medium,SYNTHETIC_ML
211,Rajapeth Area,Rajapeth,Market Area,20.928958,77.75101,Tuesday,8,47.22,67.13,87.79,71.21,55.66,55.46,Medium,SYNTHETIC_ML
212,Gadge Nagar Area,Gadge Nagar,Residential Area,20.939,77.762792,Tuesday,13,39.07,72.86,55.12,43.68,60.78,39.81,Low,SYNTHETIC_ML
213,Camp Area,Camp,Commercial Area,20.925171,77.756105,Tuesday,18,51.96,39.39,80.45,70.48,57.85,58.48,Medium,SYNTHETIC_ML
214,Badnera Road,Badnera Road,Main Road,20.907931,77.733508,Tuesday,21,63.78,46.89,57.05,87.36,40.54,60.71,Medium,SYNTHETIC_ML
215,University Area,University Area,Educational Area,20.94555,77.770875,Wednesday,8,29.62,82.99,63.56,42.48,74.6,45.37,Medium,SYNTHETIC_ML
216,Bus Stand Area,Central Amravati,Transport Hub,20.933409,77.75307,Wednesday,13,66.55,39.14,90.18,81.26,31.32,78.61,High,SYNTHETIC_ML
217,Railway Station Area,Amravati,Transport Hub,20.923033,77.757608,Wednesday,18,62.84,53.96,99.95,89.59,48.18,62.64,Medium,SYNTHETIC_ML
218,Shivaji Nagar,Shivaji Nagar,Residential Area,20.935269,77.760238,Wednesday,21,31.02,60.32,49.72,45.43,52.06,41.66,Medium,SYNTHETIC_ML
219,Panchwati Square,Panchwati,Junction,20.918198,77.751228,Thursday,8,57.16,62.66,83.83,84.67,44.22,63.68,Medium,SYNTHETIC_ML
220,Morshi Road,Morshi Road,Main Road,20.950385,77.777428,Thursday,13,45.66,66.71,71.97,63.56,44.15,57.45,Medium,SYNTHETIC_ML
221,Rajapeth Area,Rajapeth,Market Area,20.929586,77.752745,Thursday,18,50.0,64.63,80.35,79.9,53.41,57.42,Medium,SYNTHETIC_ML
222,Gadge Nagar Area,Gadge Nagar,Residential Area,20.941833,77.765066,Thursday,21,47.63,67.57,58.92,47.93,60.38,48.06,Medium,SYNTHETIC_ML
223,Camp Area,Camp,Commercial Area,20.924433,77.755486,Friday,8,42.34,55.41,87.85,82.05,63.24,65.63,High,SYNTHETIC_ML
224,Badnera Road,Badnera Road,Main Road,20.914056,77.735591,Friday,13,56.41,42.89,73.66,95.35,36.91,65.08,High,SYNTHETIC_ML
225,University Area,University Area,Educational Area,20.945336,77.770901,Friday,18,19.96,75.83,63.31,61.79,67.81,31.7,Low,SYNTHETIC_ML
226,Bus Stand Area,Central Amravati,Transport Hub,20.933907,77.754371,Friday,21,79.33,42.52,100.0,91.28,36.87,79.83,High,SYNTHETIC_ML
227,Railway Station Area,Amravati,Transport Hub,20.926503,77.758078,Saturday,10,84.69,44.74,89.71,84.57,39.9,70.34,High,SYNTHETIC_ML
228,Shivaji Nagar,Shivaji Nagar,Residential Area,20.934389,77.760026,Saturday,15,33.37,75.05,62.07,44.58,77.73,33.02,Low,SYNTHETIC_ML
229,Panchwati Square,Panchwati,Junction,20.917677,77.74878,Saturday,19,51.73,52.83,100.0,92.75,52.36,64.39,Medium,SYNTHETIC_ML
230,Morshi Road,Morshi Road,Main Road,20.951186,77.781469,Saturday,22,47.59,55.81,74.08,77.19,61.49,52.92,Medium,SYNTHETIC_ML
231,Rajapeth Area,Rajapeth,Market Area,20.928026,77.749772,Sunday,10,64.04,70.67,73.07,75.11,45.07,58.21,Medium,SYNTHETIC_ML
232,Gadge Nagar Area,Gadge Nagar,Residential Area,20.941226,77.765869,Sunday,15,35.65,65.39,55.69,43.65,53.4,42.31,Medium,SYNTHETIC_ML
233,Camp Area,Camp,Commercial Area,20.923646,77.754543,Sunday,19,64.73,50.44,86.21,65.03,42.28,62.93,Medium,SYNTHETIC_ML
234,Badnera Road,Badnera Road,Main Road,20.909918,77.736749,Sunday,22,75.71,37.93,53.85,92.54,37.95,66.71,High,SYNTHETIC_ML
235,University Area,University Area,Educational Area,20.946627,77.770826,Monday,8,17.74,79.49,70.53,31.22,76.2,31.25,Low,SYNTHETIC_ML
236,Bus Stand Area,Central Amravati,Transport Hub,20.933913,77.752179,Monday,13,53.36,45.29,96.11,88.44,42.87,70.5,High,SYNTHETIC_ML
237,Railway Station Area,Amravati,Transport Hub,20.924083,77.760829,Monday,18,52.08,52.27,96.91,79.84,48.79,51.15,Medium,SYNTHETIC_ML
238,Shivaji Nagar,Shivaji Nagar,Residential Area,20.938046,77.763416,Monday,21,29.17,57.26,59.88,45.11,71.63,41.14,Medium,SYNTHETIC_ML
239,Panchwati Square,Panchwati,Junction,20.921859,77.748875,Tuesday,8,56.8,48.52,87.92,94.15,55.22,68.53,High,SYNTHETIC_ML
240,Morshi Road,Morshi Road,Main Road,20.950554,77.77926,Tuesday,13,41.45,60.16,61.08,62.88,38.42,48.41,Medium,SYNTHETIC_ML
241,Rajapeth Area,Rajapeth,Market Area,20.929744,77.752549,Tuesday,18,68.55,60.08,95.19,80.45,49.96,65.92,High,SYNTHETIC_ML
242,Gadge Nagar Area,Gadge Nagar,Residential Area,20.937425,77.765775,Tuesday,21,35.12,68.47,72.88,47.84,62.52,42.94,Medium,SYNTHETIC_ML
243,Camp Area,Camp,Commercial Area,20.924263,77.755127,Wednesday,8,32.46,63.82,79.26,82.66,44.59,52.17,Medium,SYNTHETIC_ML
244,Badnera Road,Badnera Road,Main Road,20.906918,77.734717,Wednesday,13,81.37,50.01,73.4,91.75,43.88,70.43,High,SYNTHETIC_ML
245,University Area,University Area,Educational Area,20.944944,77.770296,Wednesday,18,30.68,74.18,64.17,46.35,79.01,38.73,Low,SYNTHETIC_ML
246,Bus Stand Area,Central Amravati,Transport Hub,20.932472,77.753221,Wednesday,21,66.48,29.29,96.2,92.59,47.26,70.69,High,SYNTHETIC_ML
247,Railway Station Area,Amravati,Transport Hub,20.925828,77.760389,Thursday,8,82.72,63.88,100.0,91.42,39.7,72.43,High,SYNTHETIC_ML
248,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936589,77.761186,Thursday,13,27.52,57.36,54.04,39.41,65.26,37.73,Low,SYNTHETIC_ML
249,Panchwati Square,Panchwati,Junction,20.915059,77.751059,Thursday,18,39.27,54.9,88.1,82.74,38.35,58.11,Medium,SYNTHETIC_ML
250,Morshi Road,Morshi Road,Main Road,20.949331,77.78147,Thursday,21,37.46,59.43,57.9,60.72,52.35,49.27,Medium,SYNTHETIC_ML
251,Rajapeth Area,Rajapeth,Market Area,20.926446,77.749838,Friday,8,56.97,55.81,87.74,71.05,46.74,67.18,High,SYNTHETIC_ML
252,Gadge Nagar Area,Gadge Nagar,Residential Area,20.943325,77.764346,Friday,13,42.77,78.14,57.95,51.28,63.7,40.3,Medium,SYNTHETIC_ML
253,Camp Area,Camp,Commercial Area,20.924636,77.753563,Friday,18,48.71,61.8,99.2,76.92,49.9,59.59,Medium,SYNTHETIC_ML
254,Badnera Road,Badnera Road,Main Road,20.909436,77.734313,Friday,21,58.98,41.53,76.66,90.88,35.42,77.79,High,SYNTHETIC_ML
255,University Area,University Area,Educational Area,20.946494,77.769093,Saturday,10,30.38,84.91,65.22,46.97,73.25,35.19,Low,SYNTHETIC_ML
256,Bus Stand Area,Central Amravati,Transport Hub,20.932339,77.754484,Saturday,15,57.1,38.5,88.74,84.79,39.07,65.46,High,SYNTHETIC_ML
257,Railway Station Area,Amravati,Transport Hub,20.928725,77.756678,Saturday,19,75.44,47.68,99.15,95.1,46.97,73.01,High,SYNTHETIC_ML
258,Shivaji Nagar,Shivaji Nagar,Residential Area,20.938223,77.758947,Saturday,22,33.9,67.16,53.2,49.25,65.64,39.33,Low,SYNTHETIC_ML
259,Panchwati Square,Panchwati,Junction,20.917178,77.751848,Sunday,10,55.36,53.43,86.73,97.69,47.27,55.79,Medium,SYNTHETIC_ML
260,Morshi Road,Morshi Road,Main Road,20.952283,77.780538,Sunday,15,48.87,63.49,73.07,73.88,62.31,56.45,Medium,SYNTHETIC_ML
261,Rajapeth Area,Rajapeth,Market Area,20.929833,77.749433,Sunday,19,61.45,50.18,81.69,95.56,46.3,71.9,High,SYNTHETIC_ML
262,Gadge Nagar Area,Gadge Nagar,Residential Area,20.942624,77.764187,Sunday,22,33.52,77.53,53.29,35.6,71.36,33.46,Low,SYNTHETIC_ML
263,Camp Area,Camp,Commercial Area,20.922567,77.755922,Monday,8,56.04,58.25,80.73,75.03,48.95,55.67,Medium,SYNTHETIC_ML
264,Badnera Road,Badnera Road,Main Road,20.909269,77.734532,Monday,13,66.42,47.88,68.26,82.44,39.72,65.2,High,SYNTHETIC_ML
265,University Area,University Area,Educational Area,20.94443,77.766851,Monday,18,39.14,69.59,68.96,40.3,69.35,42.03,Medium,SYNTHETIC_ML
266,Bus Stand Area,Central Amravati,Transport Hub,20.931588,77.752802,Monday,21,77.48,50.85,100.0,92.87,40.28,79.51,High,SYNTHETIC_ML
267,Railway Station Area,Amravati,Transport Hub,20.926572,77.756776,Tuesday,8,68.08,44.14,100.0,100.0,48.84,73.02,High,SYNTHETIC_ML
268,Shivaji Nagar,Shivaji Nagar,Residential Area,20.93751,77.76069,Tuesday,13,23.25,79.6,60.98,37.07,70.81,32.14,Low,SYNTHETIC_ML
269,Panchwati Square,Panchwati,Junction,20.919069,77.747588,Tuesday,18,56.96,58.5,97.24,91.4,51.75,66.09,High,SYNTHETIC_ML
270,Morshi Road,Morshi Road,Main Road,20.950307,77.781768,Tuesday,21,45.13,66.07,67.3,54.69,61.23,47.15,Medium,SYNTHETIC_ML
271,Rajapeth Area,Rajapeth,Market Area,20.928412,77.749215,Wednesday,8,48.72,54.04,84.11,87.89,37.01,59.29,Medium,SYNTHETIC_ML
272,Gadge Nagar Area,Gadge Nagar,Residential Area,20.939975,77.767306,Wednesday,13,30.25,69.95,62.44,43.83,69.94,35.49,Low,SYNTHETIC_ML
273,Camp Area,Camp,Commercial Area,20.923521,77.754916,Wednesday,18,49.48,51.69,77.29,88.52,58.8,59.36,Medium,SYNTHETIC_ML
274,Badnera Road,Badnera Road,Main Road,20.909868,77.733546,Wednesday,21,66.86,44.62,74.66,82.37,33.72,70.07,High,SYNTHETIC_ML
275,University Area,University Area,Educational Area,20.942153,77.77193,Thursday,8,18.3,88.68,66.58,65.62,66.92,29.86,Low,SYNTHETIC_ML
276,Bus Stand Area,Central Amravati,Transport Hub,20.933675,77.750988,Thursday,13,64.21,49.88,90.31,92.15,34.3,69.51,High,SYNTHETIC_ML
277,Railway Station Area,Amravati,Transport Hub,20.925016,77.759037,Thursday,18,60.1,52.92,85.93,87.37,45.71,65.39,High,SYNTHETIC_ML
278,Shivaji Nagar,Shivaji Nagar,Residential Area,20.937681,77.761849,Thursday,21,44.08,62.97,53.88,43.08,67.19,35.16,Low,SYNTHETIC_ML
279,Panchwati Square,Panchwati,Junction,20.916452,77.749905,Friday,8,48.45,63.97,78.48,80.94,48.85,51.35,Medium,SYNTHETIC_ML
280,Morshi Road,Morshi Road,Main Road,20.948332,77.781253,Friday,13,42.44,70.39,79.86,81.48,55.87,55.69,Medium,SYNTHETIC_ML
281,Rajapeth Area,Rajapeth,Market Area,20.92729,77.751788,Friday,18,63.3,61.27,94.49,84.63,27.83,66.32,High,SYNTHETIC_ML
282,Gadge Nagar Area,Gadge Nagar,Residential Area,20.940444,77.763643,Friday,21,37.93,64.86,60.03,64.47,53.48,43.59,Medium,SYNTHETIC_ML
283,Camp Area,Camp,Commercial Area,20.924396,77.753583,Saturday,10,46.81,66.05,73.66,66.12,42.19,52.98,Medium,SYNTHETIC_ML
284,Badnera Road,Badnera Road,Main Road,20.91174,77.736569,Saturday,15,60.35,59.75,79.09,81.65,38.89,66.86,High,SYNTHETIC_ML
285,University Area,University Area,Educational Area,20.946308,77.768958,Saturday,19,23.69,73.65,79.99,59.04,67.64,42.67,Medium,SYNTHETIC_ML
286,Bus Stand Area,Central Amravati,Transport Hub,20.933865,77.752134,Saturday,22,60.23,40.38,100.0,90.44,35.84,75.85,High,SYNTHETIC_ML
287,Railway Station Area,Amravati,Transport Hub,20.924484,77.760257,Sunday,10,63.85,52.43,100.0,89.45,42.22,71.33,High,SYNTHETIC_ML
288,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936915,77.759135,Sunday,15,25.37,75.01,58.53,48.08,65.57,35.89,Low,SYNTHETIC_ML
289,Panchwati Square,Panchwati,Junction,20.91886,77.749035,Sunday,19,52.09,62.29,81.62,79.92,44.9,57.58,Medium,SYNTHETIC_ML
290,Morshi Road,Morshi Road,Main Road,20.950417,77.777936,Sunday,22,47.53,65.6,71.99,62.14,49.87,43.61,Medium,SYNTHETIC_ML
291,Rajapeth Area,Rajapeth,Market Area,20.930129,77.753265,Monday,8,50.56,57.81,79.2,74.86,45.04,61.13,Medium,SYNTHETIC_ML
292,Gadge Nagar Area,Gadge Nagar,Residential Area,20.943763,77.767887,Monday,13,24.21,71.79,60.41,41.75,60.06,35.96,Low,SYNTHETIC_ML
293,Camp Area,Camp,Commercial Area,20.925831,77.755346,Monday,18,36.35,69.96,72.2,85.21,55.82,50.01,Medium,SYNTHETIC_ML
294,Badnera Road,Badnera Road,Main Road,20.909148,77.734069,Monday,21,74.35,37.92,63.66,93.77,38.48,66.71,High,SYNTHETIC_ML
295,University Area,University Area,Educational Area,20.944908,77.770189,Tuesday,8,30.5,85.86,65.01,59.69,78.21,42.37,Medium,SYNTHETIC_ML
296,Bus Stand Area,Central Amravati,Transport Hub,20.931371,77.750614,Tuesday,13,67.62,44.66,83.25,95.06,35.3,83.81,High,SYNTHETIC_ML
297,Railway Station Area,Amravati,Transport Hub,20.926175,77.754636,Tuesday,18,68.57,64.18,93.03,94.83,33.94,61.54,Medium,SYNTHETIC_ML
298,Shivaji Nagar,Shivaji Nagar,Residential Area,20.936997,77.760455,Tuesday,21,26.33,64.83,43.35,48.17,66.83,40.34,Medium,SYNTHETIC_ML
299,Panchwati Square,Panchwati,Junction,20.917007,77.748184,Wednesday,8,53.58,58.85,76.89,81.44,43.09,56.79,Medium,SYNTHETIC_ML
300,Morshi Road,Morshi Road,Main Road,20.951532,77.779194,Wednesday,13,51.85,62.47,58.1,76.47,51.64,47.46,Medium,SYNTHETIC_ML
